ID;Ano;Extrato_Ano;Variavel_Ano;Niveis_Ano;Percentual_Ano
182;2013;Area Rural-1;Tipo de Pisos;Cimento;39.8
183;2014;Area Rural-1;Tipo de Pisos;Cimento;18.2
184;2015;Area Rural-1;Tipo de Pisos;Cimento;18.8
185;2016;Area Rural-1;Tipo de Pisos;Cimento;35
186;2017;Area Rural-1;Tipo de Pisos;Cimento;35.2
187;2018;Area Rural-1;Tipo de Pisos;Cimento;40.2
188;2019;Area Rural-1;Tipo de Pisos;Cimento;32.1
189;2020;Area Rural-1;Tipo de Pisos;Cimento;43.2
190;2012;Area Rural-1;Tipo de Pisos;Terra;55
191;2013;Area Rural-1;Tipo de Pisos;Terra;43
192;2014;Area Rural-1;Tipo de Pisos;Terra;55.7
193;2015;Area Rural-1;Tipo de Pisos;Terra;53.8
194;2016;Area Rural-1;Tipo de Pisos;Terra;41.2
195;2017;Area Rural-1;Tipo de Pisos;Terra;36.6
196;2018;Area Rural-1;Tipo de Pisos;Terra;42.7
197;2019;Area Rural-1;Tipo de Pisos;Terra;40.7
198;2020;Area Rural-1;Tipo de Pisos;Terra;24.3
199;2012;Area Rural-1;Tipo de Pisos;Madeira;20
200;2013;Area Rural-1;Tipo de Pisos;Madeira;15.1
201;2014;Area Rural-1;Tipo de Pisos;Madeira;20.5
202;2015;Area Rural-1;Tipo de Pisos;Madeira;20
203;2016;Area Rural-1;Tipo de Pisos;Madeira;22.5
204;2017;Area Rural-1;Tipo de Pisos;Madeira;23.9
205;2018;Area Rural-1;Tipo de Pisos;Madeira;15.9
206;2019;Area Rural-1;Tipo de Pisos;Madeira;22.2
207;2020;Area Rural-1;Tipo de Pisos;Madeira;27
208;2012;Area Rural-1;Tipo de Pisos;Ceramica;5
209;2013;Area Rural-1;Tipo de Pisos;Ceramica;5.4
210;2014;Area Rural-1;Tipo de Pisos;Ceramica;5.7
211;2015;Area Rural-1;Tipo de Pisos;Ceramica;8.8
212;2016;Area Rural-1;Tipo de Pisos;Ceramica;2.5
213;2017;Area Rural-1;Tipo de Pisos;Ceramica;4.2
214;2018;Area Rural-1;Tipo de Pisos;Ceramica;6.1
215;2019;Area Rural-1;Tipo de Pisos;Ceramica;3.7
216;2020;Area Rural-1;Tipo de Pisos;Ceramica;8.1
217;2012;Area Rural-1;Tipo de Pisos;Outro;0
218;2013;Area Rural-1;Tipo de Pisos;Outro;0
219;2014;Area Rural-1;Tipo de Pisos;Outro;0
220;2015;Area Rural-1;Tipo de Pisos;Outro;0
221;2016;Area Rural-1;Tipo de Pisos;Outro;0
222;2017;Area Rural-1;Tipo de Pisos;Outro;0
223;2018;Area Rural-1;Tipo de Pisos;Outro;0
224;2019;Area Rural-1;Tipo de Pisos;Outro;0
225;2020;Area Rural-1;Tipo de Pisos;Outro;0
226;2012;Area Rural-2;Tipo de Pisos;Cimento;17.4
227;2013;Area Rural-2;Tipo de Pisos;Cimento;24.3
228;2014;Area Rural-2;Tipo de Pisos;Cimento;24.4
229;2015;Area Rural-2;Tipo de Pisos;Cimento;27.6
230;2016;Area Rural-2;Tipo de Pisos;Cimento;43.6
231;2017;Area Rural-2;Tipo de Pisos;Cimento;47.8
232;2018;Area Rural-2;Tipo de Pisos;Cimento;33.3
233;2019;Area Rural-2;Tipo de Pisos;Cimento;34.8
234;2020;Area Rural-2;Tipo de Pisos;Cimento;40.8
235;2012;Area Rural-2;Tipo de Pisos;Terra;78.3
236;2013;Area Rural-2;Tipo de Pisos;Terra;68.9
237;2014;Area Rural-2;Tipo de Pisos;Terra;72.1
238;2015;Area Rural-2;Tipo de Pisos;Terra;71.3
239;2016;Area Rural-2;Tipo de Pisos;Terra;52.6
240;2017;Area Rural-2;Tipo de Pisos;Terra;44.6
241;2018;Area Rural-2;Tipo de Pisos;Terra;52.4
242;2019;Area Rural-2;Tipo de Pisos;Terra;50.6
243;2020;Area Rural-2;Tipo de Pisos;Terra;49
244;2012;Area Rural-2;Tipo de Pisos;Madeira;0
245;2013;Area Rural-2;Tipo de Pisos;Madeira;2.7
246;2014;Area Rural-2;Tipo de Pisos;Madeira;3.5
247;2015;Area Rural-2;Tipo de Pisos;Madeira;0
248;2016;Area Rural-2;Tipo de Pisos;Madeira;2.6
249;2017;Area Rural-2;Tipo de Pisos;Madeira;3.3
250;2018;Area Rural-2;Tipo de Pisos;Madeira;9.5
251;2019;Area Rural-2;Tipo de Pisos;Madeira;5.6
252;2020;Area Rural-2;Tipo de Pisos;Madeira;2
253;2012;Area Rural-2;Tipo de Pisos;Ceramica;4.3
254;2013;Area Rural-2;Tipo de Pisos;Ceramica;4.1
255;2014;Area Rural-2;Tipo de Pisos;Ceramica;0
256;2015;Area Rural-2;Tipo de Pisos;Ceramica;1.1
257;2016;Area Rural-2;Tipo de Pisos;Ceramica;1.3
258;2017;Area Rural-2;Tipo de Pisos;Ceramica;2.2
259;2018;Area Rural-2;Tipo de Pisos;Ceramica;7.1
260;2019;Area Rural-2;Tipo de Pisos;Ceramica;9
261;2020;Area Rural-2;Tipo de Pisos;Ceramica;8.2
262;2012;Area Rural-2;Tipo de Pisos;Outro;0
263;2013;Area Rural-2;Tipo de Pisos;Outro;0
264;2014;Area Rural-2;Tipo de Pisos;Outro;0
265;2015;Area Rural-2;Tipo de Pisos;Outro;0
266;2016;Area Rural-2;Tipo de Pisos;Outro;0
267;2017;Area Rural-2;Tipo de Pisos;Outro;2.2
268;2018;Area Rural-2;Tipo de Pisos;Outro;0
269;2019;Area Rural-2;Tipo de Pisos;Outro;0
270;2020;Area Rural-2;Tipo de Pisos;Outro;0
271;2012;Area Urbana-1;Tipo de Pisos;Cimento;88.9
272;2013;Area Urbana-1;Tipo de Pisos;Cimento;84.2
273;2014;Area Urbana-1;Tipo de Pisos;Cimento;81.4
274;2015;Area Urbana-1;Tipo de Pisos;Cimento;91.1
275;2016;Area Urbana-1;Tipo de Pisos;Cimento;85.8
276;2017;Area Urbana-1;Tipo de Pisos;Cimento;83.6
277;2018;Area Urbana-1;Tipo de Pisos;Cimento;81.8
278;2019;Area Urbana-1;Tipo de Pisos;Cimento;83.3
279;2020;Area Urbana-1;Tipo de Pisos;Cimento;83.6
280;2012;Area Urbana-1;Tipo de Pisos;Terra;7.4
281;2013;Area Urbana-1;Tipo de Pisos;Terra;13.7
282;2014;Area Urbana-1;Tipo de Pisos;Terra;10.5
283;2015;Area Urbana-1;Tipo de Pisos;Terra;6.3
284;2016;Area Urbana-1;Tipo de Pisos;Terra;7.5
285;2017;Area Urbana-1;Tipo de Pisos;Terra;11.8
286;2018;Area Urbana-1;Tipo de Pisos;Terra;9.1
287;2019;Area Urbana-1;Tipo de Pisos;Terra;9.2
288;2020;Area Urbana-1;Tipo de Pisos;Terra;8.2
289;2012;Area Urbana-1;Tipo de Pisos;Madeira;1.9
290;2013;Area Urbana-1;Tipo de Pisos;Madeira;2.1
291;2014;Area Urbana-1;Tipo de Pisos;Madeira;1.2
292;2015;Area Urbana-1;Tipo de Pisos;Madeira;1.3
293;2016;Area Urbana-1;Tipo de Pisos;Madeira;2.8
294;2017;Area Urbana-1;Tipo de Pisos;Madeira;3.6
295;2018;Area Urbana-1;Tipo de Pisos;Madeira;4.5
296;2019;Area Urbana-1;Tipo de Pisos;Madeira;1.7
297;2020;Area Urbana-1;Tipo de Pisos;Madeira;3.3
298;2012;Area Urbana-1;Tipo de Pisos;Ceramica;3.7
299;2013;Area Urbana-1;Tipo de Pisos;Ceramica;2.1
300;2014;Area Urbana-1;Tipo de Pisos;Ceramica;7
301;2015;Area Urbana-1;Tipo de Pisos;Ceramica;5.1
302;2016;Area Urbana-1;Tipo de Pisos;Ceramica;3.8
303;2017;Area Urbana-1;Tipo de Pisos;Ceramica;0.9
304;2018;Area Urbana-1;Tipo de Pisos;Ceramica;5.5
305;2019;Area Urbana-1;Tipo de Pisos;Ceramica;5.8
306;2020;Area Urbana-1;Tipo de Pisos;Ceramica;4.9
307;2012;Area Urbana-1;Tipo de Pisos;Outro;0
308;2013;Area Urbana-1;Tipo de Pisos;Outro;0
309;2014;Area Urbana-1;Tipo de Pisos;Outro;0
310;2015;Area Urbana-1;Tipo de Pisos;Outro;0
311;2016;Area Urbana-1;Tipo de Pisos;Outro;0
312;2017;Area Urbana-1;Tipo de Pisos;Outro;0
313;2018;Area Urbana-1;Tipo de Pisos;Outro;0
314;2019;Area Urbana-1;Tipo de Pisos;Outro;0
315;2020;Area Urbana-1;Tipo de Pisos;Outro;0
316;2012;Area Urbana-2;Tipo de Pisos;Cimento;31.1
317;2013;Area Urbana-2;Tipo de Pisos;Cimento;43.6
318;2014;Area Urbana-2;Tipo de Pisos;Cimento;45.8
319;2015;Area Urbana-2;Tipo de Pisos;Cimento;59.1
320;2016;Area Urbana-2;Tipo de Pisos;Cimento;45
321;2017;Area Urbana-2;Tipo de Pisos;Cimento;49.2
322;2018;Area Urbana-2;Tipo de Pisos;Cimento;42.4
323;2019;Area Urbana-2;Tipo de Pisos;Cimento;51.9
324;2020;Area Urbana-2;Tipo de Pisos;Cimento;49.1
325;2012;Area Urbana-2;Tipo de Pisos;Terra;0
326;2013;Area Urbana-2;Tipo de Pisos;Terra;2.9
327;2014;Area Urbana-2;Tipo de Pisos;Terra;7
328;2015;Area Urbana-2;Tipo de Pisos;Terra;3.4
329;2016;Area Urbana-2;Tipo de Pisos;Terra;5
330;2017;Area Urbana-2;Tipo de Pisos;Terra;0.8
331;2018;Area Urbana-2;Tipo de Pisos;Terra;3
332;2019;Area Urbana-2;Tipo de Pisos;Terra;3.8
333;2020;Area Urbana-2;Tipo de Pisos;Terra;5.5
334;2012;Area Urbana-2;Tipo de Pisos;Madeira;57.8
335;2013;Area Urbana-2;Tipo de Pisos;Madeira;48.6
336;2014;Area Urbana-2;Tipo de Pisos;Madeira;31
337;2015;Area Urbana-2;Tipo de Pisos;Madeira;26.8
338;2016;Area Urbana-2;Tipo de Pisos;Madeira;30
339;2017;Area Urbana-2;Tipo de Pisos;Madeira;36.2
340;2018;Area Urbana-2;Tipo de Pisos;Madeira;40.9
341;2019;Area Urbana-2;Tipo de Pisos;Madeira;27.4
342;2020;Area Urbana-2;Tipo de Pisos;Madeira;20
343;2012;Area Urbana-2;Tipo de Pisos;Ceramica;11.1
344;2013;Area Urbana-2;Tipo de Pisos;Ceramica;9.3
345;2014;Area Urbana-2;Tipo de Pisos;Ceramica;17.6
346;2015;Area Urbana-2;Tipo de Pisos;Ceramica;12.8
347;2016;Area Urbana-2;Tipo de Pisos;Ceramica;20.7
348;2017;Area Urbana-2;Tipo de Pisos;Ceramica;13.8
349;2018;Area Urbana-2;Tipo de Pisos;Ceramica;16.7
350;2019;Area Urbana-2;Tipo de Pisos;Ceramica;17.9
351;2020;Area Urbana-2;Tipo de Pisos;Ceramica;25.5
352;2012;Area Urbana-2;Tipo de Pisos;Outro;0
353;2013;Area Urbana-2;Tipo de Pisos;Outro;0
354;2014;Area Urbana-2;Tipo de Pisos;Outro;0.7
355;2015;Area Urbana-2;Tipo de Pisos;Outro;0
356;2016;Area Urbana-2;Tipo de Pisos;Outro;0
357;2017;Area Urbana-2;Tipo de Pisos;Outro;0
358;2018;Area Urbana-2;Tipo de Pisos;Outro;0
359;2019;Area Urbana-2;Tipo de Pisos;Outro;0
360;2020;Area Urbana-2;Tipo de Pisos;Outro;0
361;2012;Area Rural-1;Tipo de Cobertura;Amianto;50
362;2012;Area Rural-1;Tipo de Cobertura;Palha;30
363;2012;Area Rural-1;Tipo de Cobertura;Madeira;15
364;2012;Area Rural-1;Tipo de Cobertura;Telha de Barro;5
365;2012;Area Rural-1;Tipo de Cobertura;Outro;0
366;2013;Area Rural-1;Tipo de Cobertura;Amianto;62.4
367;2013;Area Rural-1;Tipo de Cobertura;Palha;23.7
368;2013;Area Rural-1;Tipo de Cobertura;Madeira;17.2
369;2013;Area Rural-1;Tipo de Cobertura;Telha de Barro;1.1
370;2013;Area Rural-1;Tipo de Cobertura;Outro;0
371;2014;Area Rural-1;Tipo de Cobertura;Amianto;61.4
372;2014;Area Rural-1;Tipo de Cobertura;Palha;27.3
373;2014;Area Rural-1;Tipo de Cobertura;Madeira;9.1
374;2014;Area Rural-1;Tipo de Cobertura;Telha de Barro;1.1
375;2014;Area Rural-1;Tipo de Cobertura;Outro;1.1
376;2015;Area Rural-1;Tipo de Cobertura;Amianto;72.5
377;2015;Area Rural-1;Tipo de Cobertura;Palha;18.8
378;2015;Area Rural-1;Tipo de Cobertura;Madeira;7.5
379;2015;Area Rural-1;Tipo de Cobertura;Telha de Barro;2.5
380;2015;Area Rural-1;Tipo de Cobertura;Outro;0
381;2016;Area Rural-1;Tipo de Cobertura;Amianto;75
382;2016;Area Rural-1;Tipo de Cobertura;Palha;20
383;2016;Area Rural-1;Tipo de Cobertura;Madeira;2.5
384;2016;Area Rural-1;Tipo de Cobertura;Telha de Barro;1.2
385;2016;Area Rural-1;Tipo de Cobertura;Outro;2.5
386;2017;Area Rural-1;Tipo de Cobertura;Amianto;80.3
387;2017;Area Rural-1;Tipo de Cobertura;Palha;9.9
388;2017;Area Rural-1;Tipo de Cobertura;Madeira;8.5
389;2017;Area Rural-1;Tipo de Cobertura;Telha de Barro;0
390;2017;Area Rural-1;Tipo de Cobertura;Outro;1.4
391;2018;Area Rural-1;Tipo de Cobertura;Amianto;79.3
392;2018;Area Rural-1;Tipo de Cobertura;Palha;7.3
393;2018;Area Rural-1;Tipo de Cobertura;Madeira;3.7
394;2018;Area Rural-1;Tipo de Cobertura;Telha de Barro;2.4
395;2018;Area Rural-1;Tipo de Cobertura;Outro;8.5
396;2019;Area Rural-1;Tipo de Cobertura;Amianto;79
397;2019;Area Rural-1;Tipo de Cobertura;Palha;12.3
398;2019;Area Rural-1;Tipo de Cobertura;Madeira;6.2
399;2019;Area Rural-1;Tipo de Cobertura;Telha de Barro;1.2
400;2019;Area Rural-1;Tipo de Cobertura;Outro;1.2
401;2020;Area Rural-1;Tipo de Cobertura;Amianto;94.6
402;2020;Area Rural-1;Tipo de Cobertura;Palha;2.7
403;2020;Area Rural-1;Tipo de Cobertura;Madeira;0
404;2020;Area Rural-1;Tipo de Cobertura;Telha de Barro;0
405;2020;Area Rural-1;Tipo de Cobertura;Outro;2.7
406;2012;Area Rural-2;Tipo de Cobertura;Amianto;26.1
407;2012;Area Rural-2;Tipo de Cobertura;Palha;30.4
408;2012;Area Rural-2;Tipo de Cobertura;Madeira;26.1
409;2012;Area Rural-2;Tipo de Cobertura;Telha de Barro;0
410;2012;Area Rural-2;Tipo de Cobertura;Outro;17.4
